[10:08:13] [INFO] received Windows console close event; shutting log-core down
[10:10:31] [INFO] received Windows console close event; shutting log-core down
[10:14:11] [INFO] received Windows console close event; shutting log-core down
[12:53:11] [INFO] received Windows console close event; shutting log-core down
[12:54:25] [INFO] received Windows console close event; shutting log-core down
[13:08:21] [INFO] received Windows console close event; shutting log-core down
[13:10:16] [INFO] received Windows console close event; shutting log-core down
[13:14:09] [INFO] received Windows console close event; shutting log-core down
[15:15:53] [INFO] received Windows console close event; shutting log-core down
[15:20:16] [INFO] received Windows console close event; shutting log-core down
[15:26:32] [INFO] received Windows console close event; shutting log-core down
[15:29:13] [INFO] received Windows console close event; shutting log-core down
[15:30:23] [INFO] received Windows console close event; shutting log-core down
[15:42:25] [INFO] received Windows console close event; shutting log-core down
[15:43:56] [INFO] received Windows console close event; shutting log-core down
[15:48:09] [INFO] received Windows console close event; shutting log-core down
[15:54:39] [INFO] received Windows console close event; shutting log-core down
[15:56:41] [INFO] received Windows console close event; shutting log-core down
[15:57:18] [INFO] received Windows console close event; shutting log-core down
[15:58:21] [INFO] received Windows console close event; shutting log-core down
[18:23:04] [INFO] received Windows console close event; shutting log-core down
[18:24:17] [INFO] received Windows console close event; shutting log-core down
[18:31:00] [INFO] received Windows console close event; shutting log-core down
[18:43:03] [INFO] received Windows console close event; shutting log-core down
[18:47:21] [INFO] received Windows console close event; shutting log-core down
[18:48:01] [INFO] received Windows console close event; shutting log-core down
[18:56:08] [INFO] received Windows console close event; shutting log-core down
[19:58:36] [INFO] received Windows console close event; shutting log-core down
[20:01:27] [INFO] received Windows console close event; shutting log-core down
[20:08:44] [INFO] received Windows console close event; shutting log-core down
[20:09:22] [INFO] received Windows console close event; shutting log-core down
[20:23:45] [INFO] received Windows console close event; shutting log-core down
[22:02:06] [INFO] received Windows console close event; shutting log-core down
[22:04:02] [INFO] received Windows console close event; shutting log-core down
[22:12:02] [INFO] received Windows console close event; shutting log-core down
[22:27:54] [INFO] received Windows console close event; shutting log-core down
[22:32:48] [INFO] received Windows console close event; shutting log-core down
[22:55:28] [INFO] received Windows console close event; shutting log-core down
[23:06:44] [INFO] received Windows console close event; shutting log-core down
[23:09:21] [INFO] received Windows console close event; shutting log-core down
[23:14:22] [INFO] received Windows console close event; shutting log-core down
[23:15:00] [INFO] received Windows console close event; shutting log-core down
[23:26:50] [INFO] received Windows console close event; shutting log-core down
[23:29:33] [INFO] received Windows console close event; shutting log-core down
[23:48:15] [INFO] received Windows console close event; shutting log-core down
[23:50:58] [INFO] received Windows console close event; shutting log-core down
[00:01:46] [INFO] received Windows console close event; shutting log-core down
[00:07:32] [INFO] received Windows console close event; shutting log-core down
[00:15:39] [INFO] received Windows console close event; shutting log-core down
[00:20:50] [INFO] received Windows console close event; shutting log-core down
[10:54:32] [INFO] received Windows console close event; shutting log-core down
[11:05:06] [INFO] received Windows console close event; shutting log-core down
[11:07:51] [INFO] received Windows console close event; shutting log-core down
[11:11:39] [INFO] received Windows console close event; shutting log-core down
[11:13:47] [INFO] received Windows console close event; shutting log-core down
[11:20:42] [INFO] received Windows console close event; shutting log-core down
[11:24:01] [INFO] received Windows console close event; shutting log-core down
[02:05:12] [INFO] received Windows console close event; shutting log-core down
[02:05:31] [INFO] received Windows console close event; shutting log-core down
[02:05:52] [INFO] received Windows console close event; shutting log-core down
[02:07:05] [INFO] received Windows console close event; shutting log-core down
[02:11:56] [INFO] received Windows console close event; shutting log-core down
[05:01:37] [INFO] received Windows console close event; shutting log-core down
[06:37:49] [INFO] received Windows console close event; shutting log-core down
[06:40:53] [INFO] received Windows console close event; shutting log-core down
[06:42:24] [INFO] received Windows console close event; shutting log-core down
